Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Gpr137,Nub1,Gatad2a,Commd1,Dnttip2,Cpeb2,Lrrc59,Mlf2,Upf3b,,Klf3,Naxe,Tmem256,Kansl1,
Pdlim5,Dda1,Eif1a,Ppp6r3,Eloa,Aup1,Itprid2,Nampt,Rai1,,Emc6,Ick,Strn4,Mrpl24,
Pcbd2,Glyr1,Herpud1,Rc3h2,Rnf4,Snhg1,Furin,Prdx5,Elp5,,Ubr2,Lancl1,Nras,Znrd1,
Gcsh,Cdc26,Fbxo9,Rsrp1,Calr,Arf6,Cnpy3,Mtdh,Cfl1,,Acin1,Rasal2,Hsbp1,Mettl26,
Magi2,Nr1h2,Camk2n1,Zfp207,Crebbp,Larp4,Crlf3,Cpeb4,Gnaq,,Map2k2,Btbd3,Ppig,Dnajc2,
Ruvbl1,Txnl4a,Sult1a1,Odr4,Brd4,Tap2,Ppp4c,Siva1,Kmt5b,,Gramd1a,Vps8,Psmc6,Cdc42se2,
Pink1,Wdr33,Rasa1,Polr2c,Pin4,Pom121,Ik,Kmt5b,Eif1ax,,Dock10,Aldh9a1,Grina,Prrc2b,
Wrb,Hadhb,Trnau1ap,Stx5a,Clptm1l,Slc39a1,Phb2,Snx18,Med10,,Oser1,Ccndbp1,Snrpd2,Dnajc19,
Sptan1,Brwd1,Setx,Nudt9,Fundc2,Yy1,Ppp2ca,Rgcc,Smad5,,Hnrnpf,Klc1,Usp7,Ddx21,
B230118H07Rik,Ndufa12,Rala,Ctsl,Ndufa8,Ncstn,Dazap2,Rbmxl1,Mrpl13,,Smim11,Fbxo44,Arpc5l,2300009A05Rik,
Gkap1,Mrpl21,Cdk17,Gde1,Dusp3,Fuca1,Tcp1,Prpf8,Tle5,,Yeats4,Rps6ka5,Pcgf5,Pabpn1,
Sclt1,Taf1d,Ubr4,Ifnar2,Golph3,Tex261,Nedd8,Mknk2,Tmem63b,,Nono,Ndufaf2,Lrpap1,Tax1bp1,
Tmem205,Sbno1,Phc2,Rps6,Ube2f,Rab14,Gpd2,Dnajc1,Mkrn1,,Etv3,Tmem63b,Emc2,Dek,
Ccs,Psmd4,R3hdm2,Mrpl17,Ppp4c,Canx,Eri1,Gls,Kdm2b,,Polr2i,Cdkn2d,Tbcb,Dusp10,
Mageh1,Birc6,Hint2,Txn2,Psma5,Naa35,Sdhd,Dld,Trim24,,Upf2,Erbb4,Zfp91,Mapk1ip1l,
Gprasp1,Polr2c,Vamp8,Trim8,Adrb2,Atp6v0a2,Mrps30,Lrrc8a,Xpa,,Rbbp7,Tbc1d10b,Naa15,Pet100,
Lsm14b,Tigd2,Herc1,Cox6c,Stk4,Ppp1r15b,Atp5k,Eif2a,Zfp955b,,Ypel3,Cnih1,Echs1,Etfb,
Fbxo2,Prrc2a,Tmem245,Ier3ip1,Sp3,Fkbp15,Ubl5,Klhdc2,Josd1,,Cnbp,Ro60,Ddx6,Tatdn2,
Nt5c,Hbp1,Glud1,Bnip2,Dnajb11,Map3k2,Rwdd1,Mrpl51,Zeb2,,Hectd1,Ldlrad3,Soga3,Prpf18,
Enpp5,Tardbp,Dek,Ly6a,Ndufs4,Kansl1l,Suds3,Pfdn1,Rpp30,,Pfdn1,Rab5b,Prkar1a,Rbm33,
Tmem106c,Commd1,Arid5b,Sec61b,Pan3,Med13l,Prpf40a,Sod2,Zfp609,,Ndufa2,Cobll1,Fkbp4,Ddx41,
Shisa4,Cd48,Eif4a2,H2afz,Sumo1,Gxylt1,Supt4a,Xpa,Lin7c,,Vamp8,Flywch1,Galnt1,Psma1,
Rida,Sra1,Fam120a,2610507B11Rik,Got2,Cbl,2410006H16Rik,Cdc40,Taf11,,Poldip3,Acsl1,Ergic3,Ndufaf8,
Pitpnc1,Rbx1,Ahctf1,Etnk1,Uqcr10,Rsl1d1,Wipf1,Esd,Nasp,,Rasa3,Srebf1,Aimp1,Zeb1,
Maged1,Gpbp1l1,Dnajc3,Bhlhe40,Rheb,Susd6,Ormdl2,Acadl,Vbp1,,Smg1,Cdk16,Sfpq,Thoc7,
Hacd3,Chd1,Cdipt,Prpf39,Cox7a2,Idh2,Arpp19,Sbf2,Ppp6r2,,Atp5o,Pard3,Tm9sf4,Birc6,
Zc3h6,Mrpl28,Brd2,Lmna,Dlst,Nolc1,Ptcd2,Itprid2,Rabgap1,,Oip5os1,Chmp7,Ndufb2,Mdh2,
Glo1,Ahctf1,Psma3,Glo1,Hmgb2,Xrn2,Eif2s1,Unc50,Ngrn,,Bud31,Srgap3,Mdm4,Pdcd5,
Tbc1d19,Eif3l,Cnih1,Hypk,Hectd1,Irak1,Arih1,Jun,Rbmxl1,,Zfp800,Ctdspl,Fndc3a,Rfxap,
Nipsnap2,Cmpk1,Xpr1,Tm9sf2,Ypel5,Usp8,Ube2e3,Ythdf3,Rpl36a,,Guk1,Zfp276,Ndufs2,Supt20,
Lpar1,Zmynd11,D8Ertd738e,Hmgb1,Syngr2,Hnrnpdl,Usp3,Dot1l,Dnal4,,4933434E20Rik,Gna11,Tm2d2,Hsd17b10,
Baiap2,2810013P06Rik,Eif3f,Pgd,Ndufb5,Arf2,Ssu72,Utp11,Mras,,Atg12,Cbx6,Ascc3,Ndufb3,
Fas,Numa1,Sipa1l2,Kdm1a,Dnajc2,Rars,Mboat7,Ncor2,Rpl37,,Krit1,Shroom2,Uqcrq,Dph3,
Plaat3,Setd2,Ubxn1,Gtf2a2,Cycs,Dusp16,Sdf4,Poldip3,Ube2d1,,Cmip,Hist3h2ba,Epn1,Aldoa,
4930523C07Rik,Ufc1,Kmt2a,Dynll2,Dyrk1a,Ergic3,Cmip,Uhrf2,Stk38,,Eif4ebp2,Tspan4,Stt3a,Dhx9,
Cry2,Bud31,Ppfia1,Brd8,Zswim6,Slc25a33,Spty2d1,Sertad2,Rufy2,,Zyg11b,Acyp2,Rnf187,Txndc17,
4931406C07Rik,Uqcc2,mt-Nd3,Impad1,Psme2,Rhoq,Ppp3r1,Nes,Arid2,,Leng8,Nipal3,Hspd1,Calm3,
Ptn,Rsl24d1,Pdzd8,Etfb,Gm11808,Nup98,Parp14,Fam174a,Rere,,Cdv3,Smpd1,Setd3,Heca,
Nckap1,Mrpl15,Ncor1,Sap18,Man1a,Morf4l2,Gcsh,Cbx3,Dnm1l,,Arih1,Rab40c,Hnrnpa2b1,Serpinb6a,
Ano6,Usf2,Cflar,Ptpmt1,1810058I24Rik,Utp14a,Drap1,Tmem106b,Lgalsl,,Herc1,Timm8a1,Taf1,Set,
Cbr1,Gpx1,Adss,Ggh,Gpsm3,Tmed3,Eif4e2,Cd2ap,Calm2,,Rbl2,Prkcq,Stx5a,Ptp4a2,
Calm2,Pum1,Sptlc2,Rbpms,Ramac,Prex1,Pdcd2,Naa20,Rspry1,,Dctn3,4930430F08Rik,Syne1,Mob1a,
Galk1,Epsti1,Rbbp7,Stt3a,Ggnbp2,Smad7,Nfkbib,Selenow,Rbbp4,,Aurkaip1,Pgap1,Zcrb1,Exosc8,
Myh10,Hprt,Ryk,Anxa7,Rab11a,Fam133b,Sdhb,Ndufc1,Eif3e,,Pcif1,Tmem159,Arl4a,Ap2s1,
Ssbp3,Crlf2,2-Mar,Snrpd3,Wtap,Ddx6,Eif4g3,Tnfrsf1a,Cct8,,R3hdm4,Clip2,Thoc7,Cct2,
Eef2k,Tacc1,Fam104a,Zbtb38,Ndufv2,M6pr,Rnf114,Zc3h7a,Actr10,,Aebp2,Mir100hg,Plpbp,Khdc4,
Pcm1,Arid1b,Npdc1,Nup98,Cbl,Atxn2l,Cdc42se1,Rhoc,Rpl10,,Eprs,Pin4,Ostc,Imp3,
Atp1a1,Mrpl11,Kcmf1,Knop1,Raf1,Sft2d2,Tatdn2,Rsbn1,Dazap1,,Brd9,Coq7,Dnajc5,Dnajc8,
Znhit2,Man1a,Eef2,Tomm40,Dot1l,Nxf1,Sumo1,Rxylt1,Cct2,,Prpf8,Cbx5,Itm2c,Pank2,
Suclg2,Rictor,Hnrnpa0,Npm1,Nrbp1,Mcur1,Vps36,Trp53inp1,Eif4ebp2,,Fbxw2,Bcl7a,Pum1,Ogfr,
4632427E13Rik,Lrp10,mt-Nd4l,Arhgap21,Usp47,Vps26a,Prpf38b,Dync1h1,Rpf2,,Med15,Fbxl5,Cnbp,Med30,
Fam162a,Kxd1,Pkm,Dhrs7,Cdk9,Casp3,Cyld,Yme1l1,Med4,,Ybx1,Thap2,Actr10,Cep57,
Snrnp70,Cabin1,Tuba1b,Romo1,Trafd1,Fkbp2,Txn1,Gps2,Dda1,,Ppdpf,Tom1l2,Hnrnpul2,Psma5,
Sod2,Ing1,Tgfa,Lman2,Mrps24,Trp53,Atad2b,Ybx3,Zcrb1,,Wdr1,Hint3,Eif4e2,Cct4,
Polk,Prpf8,Zmym5,Luzp1,Lsm5,Mnt,Emc6,Ago2,Gng10,,Ap3b1,Pgap2,Ndufs4,Otulin,
Mras,Phf14,Zcrb1,Scfd1,Mrps21,Gm2a,Pkn1,Ccny,Sesn3,,Siva1,Wwp1,Mocs2,Dcun1d5,
Kiz,Cnot1,Ptbp3,Tsc22d3,Snrpd1,Abraxas2,Acaa2,D5Ertd579e,Btf3l4,,Zc3h14,Trappc2,Dpm3,Ifi27,
C130071C03Rik,Fam104a,Kansl3,Snhg8,Cnpy3,Zc3h7a,Lamtor1,Btg2,Arid4b,,Pnn,Surf1,Cald1,Rbl2,
Eml2,Cdk11b,mt-Nd6,Dhx15,Mrps18a,Capzb,Coa5,Cdkn1b,Fbxo44,,Trappc4,Ldah,Hsd17b11,Sirt7,
Bcl2,Nsd1,Pja2,Ufd1,Cep350,Itprid2,Idh3b,Ddit4,Rpl35a,,Atp5k,Nxt2,Ube2m,Mob2,
Jam3,Ube2v1,Bnip3,Arhgef12,Twf1,Usp12,Cdc37,Cebpb,Rnf214,,Ube2r2,Scnm1,Gnas,Ybx3,
Adk,Becn1,Csrnp1,Rpl13,Usp7,Fbrsl1,Eif4ebp2,Ramac,Psma4,,Ntan1,Ap3m1,Psmd1,Ttc19,
Znrd2,Srrt,Map1lc3b,Ppp2r2d,Dnajc5,Tcof1,Il7r,Apcdd1,Ilkap,,Sesn3,St7l,Ate1,Cdc40,
Ro60,Ccni,Smc1a,Tug1,Mapre2,Cap1,Mbnl1,Zfp280d,Rnf38,,Birc6,Nipsnap2,Nfib,Ccnt1,
Sorbs3,Nhp2,Zfand6,Eno1,Copb2,Mycbp2,Psma4,mt-Co2,Dip2c,,Micos10,Mlh3,Mrpl20,Rnf4,
Paxx,Mllt10,Uqcc3,Gtf2h5,Dph3,Rps25,Bola3,Ndufb6,Thoc2,,Mark2,Coq10a,Rbm6,Zcchc9,
Nedd9,Tcea1,Hmbox1,Emd,Trappc6b,Preb,Sde2,Itpr2,Slc25a51,,Psma2,Sgce,Kdelr2,BC005624,
Phpt1,Jtb,Usp1,Ndufa5,Wdr1,Ccdc115,Mrpl32,Map7d1,Rtl8a,,Sap30l,Fam234a,Senp6,Tiprl,
Slc25a4,Med13,Med31,Med13l,Pcbp1,Rybp,Mif4gd,Guk1,Nt5c3,,Utp3,Nudt16l1,Sf1,Ciapin1,
Eci1,Jak1,Zc3hav1,Rpl38,Ccdc174,Gnl2,Rabgef1,Azi2,Smc4,,Ndufa8,Fbxo28,Ubr4,Cabin1,
Ptov1,Cript,Git1,Zmym5,Polr2k,Adamts1,Ptp4a2,Rab1b,Psma1,,Hnrnpd,Rida,Ufm1,Nhp2,
Coq8b,Cdc5l,Yrdc,Slc25a4,Serbp1,Ube2i,Cct4,Tm2d1,Ube3c,,Ppp6c,Abhd14a,Ndufs5,Mrpl13,
Urod,Rab4b,Siah1a,Rps8,Pacsin2,Kcnq1ot1,Cmas,Tbrg1,Rex1bd,,Supt20,Mtm1,Atp6ap1,Polr2f,
Kazn,Aff1,Golgb1,Snrpe,Cln8,Rgs3,Slc41a1,Ciao2b,Cryzl1,,Cdk2ap1,Plxdc2,Sod1,Gemin7,
Grhpr,Timm10b,Lamtor5,Ube2e3,Uqcr11,Ube2a,Svbp,Manbal,Tbcc,,Chd7,Rftn1,Ralgds,AC149090.1,
Mid1ip1,Taf15,6-Mar,Igbp1,Actg1,Fam50a,Dcp2,Plec,Stag1,,Hsd17b10,Tmem60,Hnrnpc,Tmem128,
Rev3l,Fryl,Mrps24,Tmem106b,Usp8,Actr3,Ttyh3,P4ha1,Leo1,,Ubtf,Kctd17,Gnaq,Ppm1h,
Atp5j,Zfp330,Sbf2,Atad1,Atp5g2,Srpr,Rad23b,Topors,Proser1,,Tex261,Tmc7,Zfp292,Tprgl,
Plagl1,Brd7,Sumo2,Irf1,Map3k2,Pias1,Golph3,Hnrnph3,Nedd8,,Atad2b,Gins4,Fbxo11,Gpbp1l1,
Ccdc112,Maf1,Tmem243,2-Mar,Cenpx,Smg1,Pgd,Ebna1bp2,Cfap20,,Atp6v0e,Emilin2,Arid4a,Gps2,
Alcam,Cetn2,Helz,Rnf138,Kpna4,Yrdc,Szrd1,Daam1,Pgm2l1,,Ddt,Itm2b,Aco2,Timm10b,
Smim8,Wdr43,Mapk3,Sh3bp5,Rac1,Srsf6,Phf10,Eea1,Crebzf,,Srpk2,Rffl,Rpn2,Srsf5,
Lfng,Srpk1,Ier3ip1,Snrpg,Copa,Specc1,Elmsan1,4931406P16Rik,Sars,,Utp11,Zfp637,Cnpy3,Tspyl1,
Zfyve21,Mybbp1a,Yaf2,Gpx1,Glmp,Cdk12,Ier3ip1,Lsm3,Rps27a,,Rnf167,Tmem101,Rxylt1,Stk38,
Amotl2,Syngr2,Pofut2,Poldip3,Ndufb2,Oxct1,Smarce1,Ufm1,Acp1,,Rbbp4,Cnn3,Phldb1,Stim1,
Slc12a4,Zc3h15,Nras,Emc7,Psma1,Naa15,Txn2,Sec31a,Elof1,,Phf20l1,Ahi1,Wsb2,Gtf3a,
Lman1,Ppp4r3a,Tbca,Maff,Ap3b1,Cdk13,Smndc1,2-Mar,Usp14,,Med30,Fmc1,Gna13,Znrf1,
Igf2r,Rock1,Raly,Zfp280d,Anapc13,Rheb,Tut4,Banf1,Sp4,,Nap1l1,Pantr1,Acat1,Polr2j,
Fkbp9,Safb2,Etnk1,Cd63,Cmip,Impdh2,Mrps25,Oip5os1,Odc1,,Cuta,Arl3,Ggh,Trim26,
Nrxn2,Zfp622,Prkx,Prrc2b,Supt5,Dapk3,Gm20186,Eif4e,Ryk,,Higd2a,Rbbp9,Ppp2r2d,Psmg4,
Cyb5r3,Mrps18c,Ifi27,Mfsd14a,Nptn,Impact,Iah1,Anapc11,Ddx55,,Dazap2,Sash1,Ppp2ca,Prrc2c,
Cpq,Dnttip2,Sh3gl1,Heca,Jak2,Pip4p1,Cox7c,Wsb2,Eif4a1,,Ebna1bp2,Ctnna1,Copb2,Ing2,
Zc3h14,Atad2b,Rest,Tmem176a,Rpn2,Mvp,Ndufa2,Nop10,Atp5g2,,Ndufb10,Chchd2,Pin1,Wdr1,
Anapc1,Rnf216,Taok1,Gng12,Sik1,Cic,Txnrd1,Cystm1,Nop58,,Sdhd,Ptma,C1d,Ssbp3,
Sec24d,Cggbp1,Ramac,Arl4a,Sde2,Zfp330,Eif3l,Oxct1,Cox19,,Ube2q1,Pls3,Smarce1,Lrch4,
Hist2h2aa1,Atrx,mt-Nd5,Erlec1,Eif3a,Prrc2a,Ghitm,Tmem259,1300002E11Rik,,Gch1,Serpinb6a,Cyp51,2-Mar,
Park7,Ap2b1,Jmy,Zfand3,Hdlbp,Ipo7,Nfya,Camk2n1,Hnrnpul2,,Atp5j,Csmd3,Tmod2,Atg12,
Dhrs1,Aup1,Ssr3,Dph3,Zc3hav1,Actg1,Ubl3,Bbx,Ppp1cc,,Numa1,Msrb1,Pcna,Fbxo33,
Nes,Bax,Psme4,Tgfbr2,Rbmxl1,Snx2,Fbxo34,Stx12,Ctdspl2,,Emg1,Ptov1,Sumo1,Ndufa10,
Hcfc1r1,Sun2,Ogdh,Pakap.1,Tlr7,Oat,Akt1,Pin1,Dap3,,Ccdc124,Ndrg2,Acin1,Cdc37,
Sdf2,Pdcd10,Atl3,Dld,Atp5h,Trim28,Rnf10,Itgav,Mtpn,,Fnbp4,Pfn2,Ncoa2,Nsmce4a,
Sdccag8,Usp19,Ash1l,Napa,Vav1,Rbbp6,Mta3,Mapk1ip1l,Cir1,,Zcchc7,Camta1,Sars,Brk1,
Pcsk1n,Cpsf6,Tshz1,Tpt1,Slc39a1,Adipor1,Gtf2f1,BC028528,Fmc1,,Snrnp48,Ccdc34,Ndufv3,Gtf2h5,
Dnajc10,Commd7,Hspa8,Rbis,Nucb1,Spg21,Snrpd3,Jam3,Pam,,Mrpl18,Gm4258,Atp9a,Eml4,
Pros1,Fam168b,Dnajc21,Esf1,Eapp,Tmem251,Hspe1,mt-Co3,Brd9,,Gtf2h5,Hspa4l,Pdcd4,Mdh1,
Myo6,Zfp280d,Gnb2,Cisd1,Ssu72,Myo9b,Ube2l3,Arl3,Gabarapl1,,Gas5,Ell2,Arid4b,Rtf1,
Id3,Snf8,Gclm,Atg12,Gtf2b,Nhp2,Psmd2,Krcc1,Peg13,,Timm10b,Auts2,Ythdf2,Cr1l,
Ddhd1,Stk11,Cltc,Fmnl2,Tbca,Fnbp4,Socs3,Mxd4,Blmh,,Lsm3,Zbtb20,Ssr1,Cdkn2aip,
Bhlhe40,Rnf111,Sap30l,Gmfb,Ppt1,Mafk,Srp9,Cpe,Ppm1a,,Fam104a,Heg1,Fcho2,Eif1ax,
Lysmd2,Wdr83os,Dph3,Tspan5,Zfand3,Ggnbp2,Kdm2b,Atpif1,Mrpl11,,Brk1,Map1b,Snrpa1,Peak1,
Trp53bp2,Mapk1,Kras,Rpsa,Commd1,Dnajc5,Tmem50b,Usp47,Rps17,,Calm3,Ppp2r5c,Mrps18a,Chp1,
Maged2,4833420G17Rik,Caml,Xdh,Zc3h12a,Cnot8,Sdhaf1,Cdc42ep3,Zfp871,,Snrpb2,Tmem33,Suz12,Hint2,
Mettl26,Rfc1,Asap1,mt-Co3,Ola1,Hnrnpm,Ccl2,Pacsin2,Anapc10,,Cct7,Fam98a,Atp6v1h,Ube2j2,
Tsen15,Anapc13,Irak1,Rassf1,Stk38,Arih2,Dnajc8,Ctnnb1,Ap3s1,,Ccz1,Arid4b,Mrpl42,Arhgap31,
Gclc,Kansl1,Ncor2,Atf1,Hsd17b12,Derl2,Smim4,Arid5b,Timm9,,Ccni,Cln8,Dock1,Npepl1,
Psip1,Spty2d1,Slc39a1,Elf1,Pdcd6,Supt20,Nfu1,4-Sep,Rpl31,,Cnot1,Pcm1,Nav2,Exosc3,
Luc7l3,Cd2ap,Ube2r2,Azi2,Fli1,Dbnl,Arpc4,Camta1,Fam168b,,Rnf115,Pgrmc2,Nedd4,Usp25,
Slc45a4,Eif2a,Ccdc186,Prdx2,Atp6v0a1,Wapl,Bad,Msi2,Atg12,,Ubr4,Sh3bp5,Hmgn1,Ubxn1,
Elmod2,Ilkap,Usp47,Mapk1ip1l,Anxa7,Ankrd17,Uap1,Srebf2,Supt16,,Ubxn1,Tm9sf3,Park7,Ube2l3,
Lamtor2,Epc1,Cdv3,Atp13a3,Ubap2l,Ewsr1,Hmgcl,Tsen34,Rps2,,Set,Naxd,Tet2,Tmem248,
Emd,Arfgap2,Rpl22l1,Far1,Cox4i1,Tmem248,Ndufs4,Maco1,Eef1a1,,Pcbp2,Wdfy3,Vti1b,Smim20,
N4bp2,H13,Cmpk1,Dnajc1,Smdt1,Rcc2,Srp72,Ssbp4,Rps3a1,,Dnajb11,Dusp3,Fryl,Dnaja2,
Amer2,Brd9,Srsf7,Tiparp,Txn2,Csf1,Abcf1,Snrnp200,Purb,,Golga4,Tsc1,Nipbl,Tor2a,
Trap1,Upf2,Arid4a,Akap11,Ccnt1,Klf3,Qars,Fez2,Chic2,,Cir1,Zfp740,Zfp148,Cmpk1,
Nln,Churc1,Sp1,Hexim1,Lncpint,Maff,Meaf6,Ccnd3,Tcf3,,Psma5,Tspan7,Mindy2,Ccdc25,
Coro2b,Psmc4,Lrp10,Sra1,Irak2,Mrpl52,Dcun1d5,Slco3a1,Nsfl1c,,Ogdh,Dicer1,Mrpl51,Spg21,
Ugp2,Hnrnph3,Dock4,Rap1b,Rad23b,Actr1b,Abr,Rora,Wdr33,,Dnttip2,Ndufc1,Manbal,Higd2a,
Sugt1,Srsf1,Sdf2,Fyttd1,Ralb,Cebpzos,Snrnp40,Txn1,Naa35,,Pet100,Jkamp,Lztfl1,Timm23,
Chst2,Ddt,Ubtf,Itgav,Tor1aip1,Med7,Api5,Bmpr2,Gramd1a,,Cacybp,Trp53bp2,Wdr43,Eif3d,
Srsf10,Ing2,Tlk2,Ccdc186,Kxd1,Stag1,Tm2d2,Cir1,R3hdm1,,Trip12,Ptpmt1,Ank3,Lsm3,
Khk,Ythdc1,Amd1,Rpl9,Ppp2r5a,Btg3,Frg1,Cnpy2,Sumo3,,Cdc42,Swi5,Atpif1,Ppp4c,
Ptges3,Mien1,Lifr,Aff1,Slk,Tspan7,Dhx15,Hspa8,Ireb2,,Eapp,Ssr1,Srsf2,Sdhd,
Adgrv1,Ndufa3,Mrpl51,Ddit4,Usp3,Hnrnpa2b1,Pan3,Map3k2,Rbm6,,Zfp292,Man2a2,Rbis,Acads,
Ube2e2,Nop58,Sec63,Nampt,Sec11a,Akap8,Rpp21,Gadd45g,Zfp868,,Sbno1,Ndufb11,Psmd11,Lamtor4,
Ring1,Mga,Sptssa,Nop58,Chrac1,Sirt7,Ddx23,Tspan3,Npepps,,Zrsr2,Fam174a,Fxr1,Luc7l2,
Ino80b,Lin7c,Baz2a,Zfp871,Cox7c,Rpl7l1,Psmd4,Tmem248,Cox7a2l,,Mrpl54,Atp5k,Ndufa3,Ehmt2,
Scai,Eif5b,Dpm3,Usp14,Usp15,Rxrb,Snx9,Actb,Sfr1,,Rwdd1,Osbp,Cnot1,Snapc5,
Ptar1,Zfp871,Mrpl4,Tns1,Ppp1r15b,Rabggtb,Ncaph2,Samd4b,Abhd10,,Lsm12,Sesn3,Wdr1,Usp1,
Mboat2,Ddx50,Serf2,Ube2j1,Sirt7,Hprt,Hdac1,Jak2,Ctbp1,,Ndufs3,Rab9,Scaf11,Lsm1,
Fmc1,Smu1,Smc6,Nipa2,Dram2,Spns1,Usf2,Acsl1,Rpl6,,Zc3h18,Mtmr10,Usp22,Etfa,
C2cd3,Zrsr2,Rere,Trpm7,Ube2v1,Tab2,Ndufb7,Xbp1,Pik3ca,,Psmc4,Nudt3,Timm23,Ndufa12,
Med19,Trim28,Hivep2,Ubqln1,Sppl2a,Atraid,Ube2k,Mef2c,Zbtb10,,Dnajc19,Cpeb4,Klhl7,Smarce1,
Chst11,Mlec,Esd,Tram1,Cnot1,Slc44a2,Gyg,Crk,Tardbp,,Ascc3,Nenf,Rsl1d1,Rchy1,
Ctbp2,Acbd6,Tmco1,Suco,Larp1,Synj1,Cox17,Ak3,Arid1b,,Prrc2c,Mkrn2,Atp5h,Pcif1,
Il11ra1,Cspp1,Ppm1a,Fkbp5,Ndufa11,Usp16,Rraga,Foxp1,Ing1,,Hnrnpl,Lmf1,Ssbp1,Helz,
Maml2,Eif4b,Chmp2b,Tmem208,Sf1,Arf1,Noc2l,Mrps14,Pin1,,Ggnbp2,Dip2c,Ndufa13,Krit1,
Rnft1,Osbpl8,Magoh,Tuba1c,Chic2,Slc8a1,Hypk,Id1,Psmb6,,Smarce1,Srp14,Pik3c2a,Mta1,
Pdha1,Gmps,Lztfl1,mt-Co2,Ctdsp2,Wipf1,Dnajb11,Lsm8,Yes1,,Gon4l,Zfyve9,Rnf146,Cnot1,
Lage3,Idh3b,Kdelr2,Polr2k,Oaz1,Fndc3a,Tomm6,Fam107b,Fam193b,,Cdc5l,H1f0,Rnf11,Sra1,
Anxa6,Sirt7,Hdac1,Sppl2a,Erp44,Ddx50,Eif3d,Ubb,Znrd2,,Zfas1,Dync1i2,Zfp871,Acin1,
Slco1c1,Fnbp4,Lpcat3,Pmepa1,Pnp,Afap1l1,Brk1,Clic4,Arid1a,,Idh3b,Tjp1,Lsm7,Cib1,
Mrpl39,Pin4,Map1lc3a,Arf6,Cggbp1,Dnajb9,Pgap2,Tmem176b,Ddx39b,,Txndc17,Fscn1,Txn2,Cwc15,
Chuk,Pam16,Zfp644,Cd2ap,Hmgcl,Psmd12,Mrpl24,Tspyl1,Plcg1,,Ppil4,Sgpp1,Gpbp1,Ak2,
Msrb2,Mau2,Peak1,Odc1,Rbm8a,Zswim8,Mrps12,Akap11,Ndufc1,,Rlf,Atp6ap1,Brd3,Usp15,
Pts,Fam76b,Clint1,Mdh1,Pdia3,Tomm34,Arl6ip5,Impact,Cox7b,,Mir22hg,Ap2m1,Clptm1,Timm13,
Agpat4,4632427E13Rik,Tuba1c,Dnajb1,Chd1,Hnrnpc,Adss,Mbnl2,Ssrp1,,Rbm5,Spop,Krcc1,Ubac2,
Rnase4,Gngt2,Tmem128,Pon2,Acer3,Fcho2,Baiap2,Thoc7,Chchd2,,Pold4,Setd3,Sltm,Nab1,
Txndc5,Sfr1,Ankrd12,Sbno2,Pde4b,Tnpo3,Csnk2b,Lamtor3,Hectd4,,Lamtor4,Rcor3,Pitpna,Pttg1,
Kcnq1ot1,Prpf38b,Mocs2,Arpc1b,Rbbp8,Eif4g1,Acsl4,Msn,Nap1l1,,Pin4,Appl2,Rdx,Xpa,
Znhit1,Mark2,Sqstm1,Sidt2,Clint1,Tmed2,Ddx41,Hpf1,Rpp25l,,Calm1,Zmat2,Psma5,Rock1,
Fgfr1op,Rab11b,Psmc3,Cfdp1,5-Mar,Tet2,Svil,Slk,Polr2c,,Tapbp,Phf20,Ppp2r2a,Rsl1d1,
Dpy30,Gm47283,Prpf4b,Rxylt1,Snrpe,Mydgf,Cflar,Egln1,Impad1,,Mrps15,Rnf14,Tgs1,Rbm8a,
Zranb2,Prr13,Gabarapl1,Herc1,Rhoa,Mybbp1a,Tpi1,Tet3,Cspp1,,Zc3h15,Nsmce3,Ddx1,Tnrc6b,
Chchd4,Gm2a,Alkbh5,Dnajc5,Nap1l1,Dnttip2,Gtpbp4,Tcf4,Idh3b,,Banf1,Ndufc2,Sarnp,Erp44,
Haghl,Psenen,Psmb10,Emc8,Cdc40,Cul1,Capzb,Tef,N4bp2l2,,Cops8,Kidins220,Daam1,Pnn,
Cenpv,Poldip3,Rtf1,Ahcyl1,Rbbp6,Stau1,Psmb4,Atf3,Mtx2,,Cep350,Dhrs1,Rap2a,Sf3b3,
Cdc37l1,Mrps34,Krtcap2,Gna11,Fam117b,Ptpn2,Cdkn1b,Trpm7,Msantd4,,Ddx24,Dctn6,Pkm,Mrpl18,
Zfp36l1,Tapbp,Sat1,Ap2a2,Ssbp1,Arih1,Chrac1,Ier2,Zc3h15,,Nktr,Smarcc2,Tiprl,Pag1,
Hbegf,Itsn2,Bex3,Samd8,Ilrun,Btbd9,Irak2,Jak1,Dnajb6,,Abi1,Plpbp,Ctnnb1,Uqcc2,
Ndufa12,Igbp1,Mat2b,Man1a,Dock2,Lims1,Pkm,Ptpn11,BC005561,,Usp16,Manbal,Huwe1,Ebp,
Nudt9,Nrbp1,Ncoa1,Smarca2,Calm2,Tacc1,Eif1a,Prdx4,Snrpa1,,Rheb,Ndufa4,Brd9,Bax,
Poc5,Itpr2,Ei24,Egln2,Atp1b3,Eif2s1,Zcchc9,Mef2d,Srgap2,,Nme1,Dop1b,Mtmr6,Idh3a,
Crim1,C1d,Tpr,Fcgrt,Pxn,Ldb1,Nup98,Cd63,Smad4,,Cbx4,Fto,Ppp1r12a,Ssbp1,
